pokedex_number,pokemon_name,next_evolution,pokemon_weight,pokemon_height,pokemon_type,pokemon_abilities
0020,Raticate,"##0019 - Rattata (https://pokemondb.net/pokedex/rattata), ##0020 - Raticate (https://pokemondb.net/pokedex/raticate), ##0019 - Rattata (https://pokemondb.net/pokedex/rattata), ##0020 - Raticate (https://pokemondb.net/pokedex/raticate)",18.5 kg,70.0 cm,Normal,"Focus Energy (https://pokemondb.net/move/focus-energy), Normal (https://pokemondb.net/type/normal), Dark (https://pokemondb.net/type/dark), Roar (https://pokemondb.net/move/roar), Counter (https://pokemondb.net/move/counter), Headbutt (https://pokemondb.net/move/headbutt), Headbutt (https://pokemondb.net/move/headbutt)"
0021,Spearow,"##0021 - Spearow (https://pokemondb.net/pokedex/spearow), ##0022 - Fearow (https://pokemondb.net/pokedex/fearow)",2.0 kg,30.0 cm,Normal,"Growl (https://pokemondb.net/move/growl), Ghost (https://pokemondb.net/type/ghost), Work Up (https://pokemondb.net/move/work-up), Peck (https://pokemondb.net/move/peck), Headbutt (https://pokemondb.net/move/headbutt)"
0019,Rattata,"##0019 - Rattata (https://pokemondb.net/pokedex/rattata), ##0020 - Raticate (https://pokemondb.net/pokedex/raticate), ##0019 - Rattata (https://pokemondb.net/pokedex/rattata), ##0020 - Raticate (https://pokemondb.net/pokedex/raticate)",3.5 kg,30.0 cm,Normal,"Tackle (https://pokemondb.net/move/tackle), Dark (https://pokemondb.net/type/dark), Work Up (https://pokemondb.net/move/work-up), Tackle (https://pokemondb.net/move/tackle), Headbutt (https://pokemondb.net/move/headbutt), Headbutt (https://pokemondb.net/move/headbutt)"
0473,Mamoswine,"##0220 - Swinub (https://pokemondb.net/pokedex/swinub), ##0221 - Piloswine (https://pokemondb.net/pokedex/piloswine), ##0473 - Mamoswine (https://pokemondb.net/pokedex/mamoswine)",291.0 kg,250.0 cm,Ice,"Ancient Power (https://pokemondb.net/move/ancient-power), Normal (https://pokemondb.net/type/normal), Take Down (https://pokemondb.net/move/take-down), Tackle (https://pokemondb.net/move/tackle), Fairy (https://pokemondb.net/type/fairy)"
0018,Pidgeot,"##0016 - Pidgey (https://pokemondb.net/pokedex/pidgey), ##0017 - Pidgeotto (https://pokemondb.net/pokedex/pidgeotto), ##0018 - Pidgeot (https://pokemondb.net/pokedex/pidgeot)",39.5 kg,150.0 cm,Normal,"Gust (https://pokemondb.net/move/gust), Flying (https://pokemondb.net/type/flying), Work Up (https://pokemondb.net/move/work-up), Gust (https://pokemondb.net/move/gust), Headbutt (https://pokemondb.net/move/headbutt)"
0258,Mudkip,"##0258 - Mudkip (https://pokemondb.net/pokedex/mudkip), ##0259 - Marshtomp (https://pokemondb.net/pokedex/marshtomp), ##0260 - Swampert (https://pokemondb.net/pokedex/swampert)",7.6 kg,40.0 cm,Water,"Growl (https://pokemondb.net/move/growl), Rock (https://pokemondb.net/type/rock), Take Down (https://pokemondb.net/move/take-down), Growl (https://pokemondb.net/move/growl), Rock (https://pokemondb.net/type/rock), Water Pulse (https://pokemondb.net/move/water-pulse)"
0475,Gallade,"##0280 - Ralts (https://pokemondb.net/pokedex/ralts), ##0281 - Kirlia (https://pokemondb.net/pokedex/kirlia), ##0282 - Gardevoir (https://pokemondb.net/pokedex/gardevoir), ##0475 - Gallade (https://pokemondb.net/pokedex/gallade)",52.0 kg,160.0 cm,Psychic,"Aqua Cutter (https://pokemondb.net/move/aqua-cutter), Normal (https://pokemondb.net/type/normal), Ghost (https://pokemondb.net/type/ghost), Take Down (https://pokemondb.net/move/take-down), Slash (https://pokemondb.net/move/slash), Flying (https://pokemondb.net/type/flying)"
0472,Gliscor,"##0207 - Gligar (https://pokemondb.net/pokedex/gligar), ##0472 - Gliscor (https://pokemondb.net/pokedex/gliscor)",42.5 kg,200.0 cm,Ground,"Fire Fang (https://pokemondb.net/move/fire-fang), Take Down (https://pokemondb.net/move/take-down), Poison Sting (https://pokemondb.net/move/poison-sting), Flying (https://pokemondb.net/type/flying)"
0508,Stoutland,"##0506 - Lillipup (https://pokemondb.net/pokedex/lillipup), ##0507 - Herdier (https://pokemondb.net/pokedex/herdier), ##0508 - Stoutland (https://pokemondb.net/pokedex/stoutland)",61.0 kg,120.0 cm,Normal,"Bite (https://pokemondb.net/move/bite), Normal (https://pokemondb.net/type/normal), Hyper Beam (https://pokemondb.net/move/hyper-beam), Surf (https://pokemondb.net/move/surf), Bite (https://pokemondb.net/move/bite), Normal (https://pokemondb.net/type/normal), Normal (https://pokemondb.net/type/normal), Fairy (https://pokemondb.net/type/fairy), Work Up (https://pokemondb.net/move/work-up), Ground (https://pokemondb.net/type/ground)"
0474,Porygon-Z,"##0137 - Porygon (https://pokemondb.net/pokedex/porygon), ##0233 - Porygon2 (https://pokemondb.net/pokedex/porygon2), ##0474 - Porygon-Z (https://pokemondb.net/pokedex/porygon-z)",34.0 kg,90.0 cm,Normal,"Conversion (https://pokemondb.net/move/conversion), Take Down (https://pokemondb.net/move/take-down), Tackle (https://pokemondb.net/move/tackle), Flying (https://pokemondb.net/type/flying)"
0028,Sandslash,"##0027 - Sandshrew (https://pokemondb.net/pokedex/sandshrew), ##0028 - Sandslash (https://pokemondb.net/pokedex/sandslash), ##0027 - Sandshrew (https://pokemondb.net/pokedex/sandshrew), ##0028 - Sandslash (https://pokemondb.net/pokedex/sandslash)",29.5 kg,100.0 cm,Ground,"Crush Claw (https://pokemondb.net/move/crush-claw), Icicle Crash (https://pokemondb.net/move/icicle-crash), Ice (https://pokemondb.net/type/ice), Ice (https://pokemondb.net/type/ice), Take Down (https://pokemondb.net/move/take-down), Take Down (https://pokemondb.net/move/take-down), Agility (https://pokemondb.net/move/agility), Fighting (https://pokemondb.net/type/fighting), Focus Punch (https://pokemondb.net/move/focus-punch)"
0507,Herdier,"##0506 - Lillipup (https://pokemondb.net/pokedex/lillipup), ##0507 - Herdier (https://pokemondb.net/pokedex/herdier), ##0508 - Stoutland (https://pokemondb.net/pokedex/stoutland)",14.7 kg,90.0 cm,Normal,"Bite (https://pokemondb.net/move/bite), Normal (https://pokemondb.net/type/normal), Giga Impact (https://pokemondb.net/move/giga-impact), Surf (https://pokemondb.net/move/surf), Bite (https://pokemondb.net/move/bite), Normal (https://pokemondb.net/type/normal), Normal (https://pokemondb.net/type/normal), Fairy (https://pokemondb.net/type/fairy), Work Up (https://pokemondb.net/move/work-up), Ground (https://pokemondb.net/type/ground)"
0587,Emolga,,5.0 kg,40.0 cm,Electric,"Nuzzle (https://pokemondb.net/move/nuzzle), Ghost (https://pokemondb.net/type/ghost), Flying (https://pokemondb.net/type/flying), Solar Beam (https://pokemondb.net/move/solar-beam), Thunderbolt (https://pokemondb.net/move/thunderbolt), Thunder Shock (https://pokemondb.net/move/thunder-shock), Flying (https://pokemondb.net/type/flying), Normal (https://pokemondb.net/type/normal), Toxic (https://pokemondb.net/move/toxic), Normal (https://pokemondb.net/type/normal)"
0586,Sawsbuck,"##0585 - Deerling (https://pokemondb.net/pokedex/deerling), ##0586 - Sawsbuck (https://pokemondb.net/pokedex/sawsbuck)",92.5 kg,190.0 cm,Normal,"Growl (https://pokemondb.net/move/growl), Grass (https://pokemondb.net/type/grass), Psychic (https://pokemondb.net/type/psychic), Take Down (https://pokemondb.net/move/take-down), Camouflage (https://pokemondb.net/move/camouflage), Grass (https://pokemondb.net/type/grass), Psychic (https://pokemondb.net/type/psychic), Flying (https://pokemondb.net/type/flying), Work Up (https://pokemondb.net/move/work-up), Normal (https://pokemondb.net/type/normal)"
0585,Deerling,"##0585 - Deerling (https://pokemondb.net/pokedex/deerling), ##0586 - Sawsbuck (https://pokemondb.net/pokedex/sawsbuck)",19.5 kg,60.0 cm,Normal,"Tackle (https://pokemondb.net/move/tackle), Psychic (https://pokemondb.net/type/psychic), Take Down (https://pokemondb.net/move/take-down), Camouflage (https://pokemondb.net/move/camouflage), Psychic (https://pokemondb.net/type/psychic), Flying (https://pokemondb.net/type/flying), Work Up (https://pokemondb.net/move/work-up), Normal (https://pokemondb.net/type/normal)"
0584,Vanilluxe,"##0582 - Vanillite (https://pokemondb.net/pokedex/vanillite), ##0583 - Vanillish (https://pokemondb.net/pokedex/vanillish), ##0584 - Vanilluxe (https://pokemondb.net/pokedex/vanilluxe)",57.5 kg,130.0 cm,Ice,"Astonish (https://pokemondb.net/move/astonish), Ice (https://pokemondb.net/type/ice), Hyper Beam (https://pokemondb.net/move/hyper-beam), Ice Beam (https://pokemondb.net/move/ice-beam), Astonish (https://pokemondb.net/move/astonish), Steel (https://pokemondb.net/type/steel), Psychic (https://pokemondb.net/type/psychic), Toxic (https://pokemondb.net/move/toxic), Normal (https://pokemondb.net/type/normal)"
0631,Heatmor,,58.0 kg,140.0 cm,Fire,"Lick (https://pokemondb.net/move/lick), Poison (https://pokemondb.net/type/poison), Fire (https://pokemondb.net/type/fire), Fire Punch (https://pokemondb.net/move/fire-punch), Body Slam (https://pokemondb.net/move/body-slam), Hone Claws (https://pokemondb.net/move/hone-claws), Poison (https://pokemondb.net/type/poison), Normal (https://pokemondb.net/type/normal), Toxic (https://pokemondb.net/move/toxic), Ground (https://pokemondb.net/type/ground)"
0630,Mandibuzz,"##0629 - Vullaby (https://pokemondb.net/pokedex/vullaby), ##0630 - Mandibuzz (https://pokemondb.net/pokedex/mandibuzz)",39.5 kg,120.0 cm,Dark,"Flatter (https://pokemondb.net/move/flatter), Ground (https://pokemondb.net/type/ground), Take Down (https://pokemondb.net/move/take-down), Bone Rush (https://pokemondb.net/move/bone-rush), Ground (https://pokemondb.net/type/ground), Normal (https://pokemondb.net/type/normal), Flying (https://pokemondb.net/type/flying), Fly (https://pokemondb.net/move/fly), Substitute (https://pokemondb.net/move/substitute)"
0740,Crabominable,"##0739 - Crabrawler (https://pokemondb.net/pokedex/crabrawler), ##0740 - Crabominable (https://pokemondb.net/pokedex/crabominable)",180.0 kg,170.0 cm,Fighting,"Leer (https://pokemondb.net/move/leer), Ice (https://pokemondb.net/type/ice), Normal (https://pokemondb.net/type/normal), Take Down (https://pokemondb.net/move/take-down), Bubble (https://pokemondb.net/move/bubble), Ice (https://pokemondb.net/type/ice), Psychic (https://pokemondb.net/type/psychic), Normal (https://pokemondb.net/type/normal), Water (https://pokemondb.net/type/water), Work Up (https://pokemondb.net/move/work-up)"
0739,Crabrawler,"##0739 - Crabrawler (https://pokemondb.net/pokedex/crabrawler), ##0740 - Crabominable (https://pokemondb.net/pokedex/crabominable)",7.0 kg,60.0 cm,Fighting,"Vise Grip (https://pokemondb.net/move/vise-grip), Normal (https://pokemondb.net/type/normal), Take Down (https://pokemondb.net/move/take-down), Bubble (https://pokemondb.net/move/bubble), Psychic (https://pokemondb.net/type/psychic), Fighting (https://pokemondb.net/type/fighting), Work Up (https://pokemondb.net/move/work-up)"
0738,Vikavolt,"##0736 - Grubbin (https://pokemondb.net/pokedex/grubbin), ##0737 - Charjabug (https://pokemondb.net/pokedex/charjabug), ##0738 - Vikavolt (https://pokemondb.net/pokedex/vikavolt)",45.0 kg,150.0 cm,Bug,"Charge (https://pokemondb.net/move/charge), Electric (https://pokemondb.net/type/electric), Bug (https://pokemondb.net/type/bug), Take Down (https://pokemondb.net/move/take-down), Bug Bite (https://pokemondb.net/move/bug-bite), Electric (https://pokemondb.net/type/electric), Electric (https://pokemondb.net/type/electric), Flying (https://pokemondb.net/type/flying), Fly (https://pokemondb.net/move/fly), Thunderbolt (https://pokemondb.net/move/thunderbolt)"
0737,Charjabug,"##0736 - Grubbin (https://pokemondb.net/pokedex/grubbin), ##0737 - Charjabug (https://pokemondb.net/pokedex/charjabug), ##0738 - Vikavolt (https://pokemondb.net/pokedex/vikavolt)",10.5 kg,50.0 cm,Bug,"Bug Bite (https://pokemondb.net/move/bug-bite), Electric (https://pokemondb.net/type/electric), Take Down (https://pokemondb.net/move/take-down), Bug Bite (https://pokemondb.net/move/bug-bite), Electric (https://pokemondb.net/type/electric), Electric (https://pokemondb.net/type/electric), Electric (https://pokemondb.net/type/electric), Thunder Wave (https://pokemondb.net/move/thunder-wave), Thunderbolt (https://pokemondb.net/move/thunderbolt)"
0736,Grubbin,"##0736 - Grubbin (https://pokemondb.net/pokedex/grubbin), ##0737 - Charjabug (https://pokemondb.net/pokedex/charjabug), ##0738 - Vikavolt (https://pokemondb.net/pokedex/vikavolt)",4.4 kg,40.0 cm,Bug,"Mud-Slap (https://pokemondb.net/move/mud-slap), Electric (https://pokemondb.net/type/electric), Take Down (https://pokemondb.net/move/take-down), Mud-Slap (https://pokemondb.net/move/mud-slap), Electric (https://pokemondb.net/type/electric), Electric (https://pokemondb.net/type/electric), Thunder Wave (https://pokemondb.net/move/thunder-wave), Thunderbolt (https://pokemondb.net/move/thunderbolt)"
0741,Oricorio,,3.4 kg,60.0 cm,Fire,"Pound (https://pokemondb.net/move/pound), Normal (https://pokemondb.net/type/normal), Take Down (https://pokemondb.net/move/take-down), Pound (https://pokemondb.net/move/pound), Normal (https://pokemondb.net/type/normal), Normal (https://pokemondb.net/type/normal), Work Up (https://pokemondb.net/move/work-up)"
0782,Jangmo-o,"##0782 - Jangmo-o (https://pokemondb.net/pokedex/jangmo-o), ##0783 - Hakamo-o (https://pokemondb.net/pokedex/hakamo-o), ##0784 - Kommo-o (https://pokemondb.net/pokedex/kommo-o)",29.7 kg,60.0 cm,Dragon,"Leer (https://pokemondb.net/move/leer), Fighting (https://pokemondb.net/type/fighting), Take Down (https://pokemondb.net/move/take-down), Leer (https://pokemondb.net/move/leer), Fighting (https://pokemondb.net/type/fighting), Dragon (https://pokemondb.net/type/dragon), Screech (https://pokemondb.net/move/screech), Swords Dance (https://pokemondb.net/move/swords-dance)"
0827,Nickit,"##0827 - Nickit (https://pokemondb.net/pokedex/nickit), ##0828 - Thievul (https://pokemondb.net/pokedex/thievul)",8.9 kg,60.0 cm,Dark,"Quick Attack (https://pokemondb.net/move/quick-attack), Normal (https://pokemondb.net/type/normal), Dark (https://pokemondb.net/type/dark), Dig (https://pokemondb.net/move/dig), Agility (https://pokemondb.net/move/agility)"
0826,Orbeetle,"##0824 - Blipbug (https://pokemondb.net/pokedex/blipbug), ##0825 - Dottler (https://pokemondb.net/pokedex/dottler), ##0826 - Orbeetle (https://pokemondb.net/pokedex/orbeetle)",40.8 kg,40.0 cm,Bug,"Confusion (https://pokemondb.net/move/confusion), Bug (https://pokemondb.net/type/bug), Psychic (https://pokemondb.net/type/psychic), Hyper Beam (https://pokemondb.net/move/hyper-beam), Psychic (https://pokemondb.net/move/psychic)"
0629,Vullaby,"##0629 - Vullaby (https://pokemondb.net/pokedex/vullaby), ##0630 - Mandibuzz (https://pokemondb.net/pokedex/mandibuzz)",9.0 kg,50.0 cm,Dark,"Gust (https://pokemondb.net/move/gust), Normal (https://pokemondb.net/type/normal), Take Down (https://pokemondb.net/move/take-down), Gust (https://pokemondb.net/move/gust), Normal (https://pokemondb.net/type/normal), Flying (https://pokemondb.net/type/flying), Fly (https://pokemondb.net/move/fly), Substitute (https://pokemondb.net/move/substitute)"
0825,Dottler,"##0824 - Blipbug (https://pokemondb.net/pokedex/blipbug), ##0825 - Dottler (https://pokemondb.net/pokedex/dottler), ##0826 - Orbeetle (https://pokemondb.net/pokedex/orbeetle)",19.5 kg,40.0 cm,Bug,"Confusion (https://pokemondb.net/move/confusion), Psychic (https://pokemondb.net/type/psychic), Bug (https://pokemondb.net/type/bug), Psychic (https://pokemondb.net/type/psychic), Solar Beam (https://pokemondb.net/move/solar-beam), Psychic (https://pokemondb.net/move/psychic)"
0824,Blipbug,"##0824 - Blipbug (https://pokemondb.net/pokedex/blipbug), ##0825 - Dottler (https://pokemondb.net/pokedex/dottler), ##0826 - Orbeetle (https://pokemondb.net/pokedex/orbeetle)",8.0 kg,40.0 cm,Bug,"Struggle Bug (https://pokemondb.net/move/struggle-bug), Bug (https://pokemondb.net/type/bug)"
0823,Corviknight,"##0821 - Rookidee (https://pokemondb.net/pokedex/rookidee), ##0822 - Corvisquire (https://pokemondb.net/pokedex/corvisquire), ##0823 - Corviknight (https://pokemondb.net/pokedex/corviknight)",75.0 kg,220.00000000000003 cm,Flying,"Hone Claws (https://pokemondb.net/move/hone-claws), Steel (https://pokemondb.net/type/steel), Flying (https://pokemondb.net/type/flying), Take Down (https://pokemondb.net/move/take-down), Hone Claws (https://pokemondb.net/move/hone-claws), Steel (https://pokemondb.net/type/steel), Flying (https://pokemondb.net/type/flying), Flying (https://pokemondb.net/type/flying), Fly (https://pokemondb.net/move/fly), Body Slam (https://pokemondb.net/move/body-slam)"
0735,Gumshoos,"##0734 - Yungoos (https://pokemondb.net/pokedex/yungoos), ##0735 - Gumshoos (https://pokemondb.net/pokedex/gumshoos)",14.2 kg,70.0 cm,Normal,"Leer (https://pokemondb.net/move/leer), Normal (https://pokemondb.net/type/normal), Take Down (https://pokemondb.net/move/take-down), Leer (https://pokemondb.net/move/leer), Fire (https://pokemondb.net/type/fire), Normal (https://pokemondb.net/type/normal), Work Up (https://pokemondb.net/move/work-up)"
1021,Raging Bolt,,480.0 kg,520.0 cm,Electric,"Shock Wave (https://pokemondb.net/move/shock-wave), Rock (https://pokemondb.net/type/rock), Take Down (https://pokemondb.net/move/take-down)"
0822,Corvisquire,"##0821 - Rookidee (https://pokemondb.net/pokedex/rookidee), ##0822 - Corvisquire (https://pokemondb.net/pokedex/corvisquire), ##0823 - Corviknight (https://pokemondb.net/pokedex/corviknight)",16.0 kg,80.0 cm,Flying,"Hone Claws (https://pokemondb.net/move/hone-claws), Flying (https://pokemondb.net/type/flying), Take Down (https://pokemondb.net/move/take-down), Hone Claws (https://pokemondb.net/move/hone-claws), Flying (https://pokemondb.net/type/flying), Flying (https://pokemondb.net/type/flying), Fly (https://pokemondb.net/move/fly), Agility (https://pokemondb.net/move/agility)"
0821,Rookidee,"##0821 - Rookidee (https://pokemondb.net/pokedex/rookidee), ##0822 - Corvisquire (https://pokemondb.net/pokedex/corvisquire), ##0823 - Corviknight (https://pokemondb.net/pokedex/corviknight)",1.8 kg,20.0 cm,Flying,"Leer (https://pokemondb.net/move/leer), Flying (https://pokemondb.net/type/flying), Take Down (https://pokemondb.net/move/take-down), Leer (https://pokemondb.net/move/leer), Flying (https://pokemondb.net/type/flying), Flying (https://pokemondb.net/type/flying), Fly (https://pokemondb.net/move/fly), Agility (https://pokemondb.net/move/agility)"
1025,Pecharunt,,0.3 kg,30.0 cm,Poison,"Astonish (https://pokemondb.net/move/astonish), Normal (https://pokemondb.net/type/normal), Fake Tears (https://pokemondb.net/move/fake-tears)"
1023,Iron Crown,,156.0 kg,160.0 cm,Steel,"Confusion (https://pokemondb.net/move/confusion), Take Down (https://pokemondb.net/move/take-down)"
1022,Iron Boulder,,162.5 kg,150.0 cm,Rock,"Electric Terrain (https://pokemondb.net/move/electric-terrain), Take Down (https://pokemondb.net/move/take-down)"
1014,Okidogi,,92.0 kg,180.0 cm,Poison,"Bite (https://pokemondb.net/move/bite), Take Down (https://pokemondb.net/move/take-down)"
1016,Fezandipiti,,30.1 kg,140.0 cm,Poison,"Disarming Voice (https://pokemondb.net/move/disarming-voice), Take Down (https://pokemondb.net/move/take-down)"
1017,Ogerpon,,39.8 kg,120.0 cm,Grass,"Follow Me (https://pokemondb.net/move/follow-me), Fighting (https://pokemondb.net/type/fighting), Take Down (https://pokemondb.net/move/take-down)"
1018,Archaludon,"##0884 - Duraludon (https://pokemondb.net/pokedex/duraludon), ##1018 - Archaludon (https://pokemondb.net/pokedex/archaludon)",60.0 kg,200.0 cm,Steel,"Leer (https://pokemondb.net/move/leer), Electric (https://pokemondb.net/type/electric), Take Down (https://pokemondb.net/move/take-down)"
1019,Hydrapple,"##0840 - Applin (https://pokemondb.net/pokedex/applin), ##0841 - Flapple (https://pokemondb.net/pokedex/flapple), ##0842 - Appletun (https://pokemondb.net/pokedex/appletun), ##1011 - Dipplin (https://pokemondb.net/pokedex/dipplin), ##1019 - Hydrapple (https://pokemondb.net/pokedex/hydrapple)",93.0 kg,180.0 cm,Grass,"Astonish (https://pokemondb.net/move/astonish), Dragon (https://pokemondb.net/type/dragon), Normal (https://pokemondb.net/type/normal), Take Down (https://pokemondb.net/move/take-down)"
1024,Terapagos,,6.5 kg,20.0 cm,Normal,"Rapid Spin (https://pokemondb.net/move/rapid-spin), Take Down (https://pokemondb.net/move/take-down)"
1009,Walking Wake,,280.0 kg,350.0 cm,Water,"Aqua Jet (https://pokemondb.net/move/aqua-jet), Dark (https://pokemondb.net/type/dark), Take Down (https://pokemondb.net/move/take-down)"
1010,Iron Leaves,,125.0 kg,150.0 cm,Grass,"Helping Hand (https://pokemondb.net/move/helping-hand), Electric (https://pokemondb.net/type/electric), Take Down (https://pokemondb.net/move/take-down)"
1011,Dipplin,"##0840 - Applin (https://pokemondb.net/pokedex/applin), ##0841 - Flapple (https://pokemondb.net/pokedex/flapple), ##0842 - Appletun (https://pokemondb.net/pokedex/appletun), ##1011 - Dipplin (https://pokemondb.net/pokedex/dipplin), ##1019 - Hydrapple (https://pokemondb.net/pokedex/hydrapple)",4.4 kg,40.0 cm,Grass,"Astonish (https://pokemondb.net/move/astonish), Normal (https://pokemondb.net/type/normal), Bug (https://pokemondb.net/type/bug), Take Down (https://pokemondb.net/move/take-down)"
1012,Poltchageist,"##1012 - Poltchageist (https://pokemondb.net/pokedex/poltchageist), ##1013 - Sinistcha (https://pokemondb.net/pokedex/sinistcha)",1.1 kg,10.0 cm,Grass,"Astonish (https://pokemondb.net/move/astonish), Protect (https://pokemondb.net/move/protect)"
